,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
6211,11290,891.0,HYUNDAI,Sonata,2016,Sedan,True,LPG,2.0,258906,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6213,36834,1091.0,HYUNDAI,H1,2016,Minivan,True,Diesel,2.5,135884,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6214,24775,1024.0,TOYOTA,RAV 4 SPORT,2010,Jeep,True,Petrol,2.5,110571,4.0,Tiptronic,Front,4,Left wheel,Black,10,False
6216,1411,640.0,VOLKSWAGEN,Jetta,2013,Sedan,True,Diesel,2.0,169000,4.0,Automatic,Front,4,Left wheel,White,12,False
6217,12231,986.0,TOYOTA,Camry,2010,Sedan,True,Hybrid,2.4,132000,4.0,Tiptronic,Front,4,Left wheel,Green,12,False
6218,16788,707.0,HYUNDAI,Tucson,2011,Jeep,True,Diesel,2.0,185706,4.0,Automatic,Front,4,Left wheel,White,4,False
6220,15053,,MERCEDES-BENZ,C 230,2006,Sedan,True,Petrol,2.5,233000,6.0,Tiptronic,Rear,4,Left wheel,Black,6,False
6221,22894,738.0,VOLKSWAGEN,Jetta,2017,Sedan,False,Petrol,1.4,13000,4.0,Tiptronic,Front,4,Left wheel,White,12,True
6222,627,503.0,HONDA,Civic,2012,Sedan,True,Hybrid,1.5,272189,4.0,Automatic,Front,4,Left wheel,Silver,0,False
6223,9879,765.0,HYUNDAI,Sonata,2015,Sedan,True,LPG,2.0,52000,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6224,14113,,HONDA,FIT,2013,Sedan,False,Petrol,1.3,113000,4.0,Variator,Front,4,Right-hand drive,White,4,False
6225,13172,,HONDA,FIT,2011,Hatchback,False,Hybrid,1.3,128000,4.0,Variator,Front,4,Right-hand drive,Black,6,False
6226,22693,836.0,HYUNDAI,Santa FE,2010,Jeep,True,Diesel,2.0,153997,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6227,5645,,MITSUBISHI,Carisma,2001,Sedan,False,Petrol,1.6,258000,4.0,Manual,Rear,4,Left wheel,Blue,4,False
6228,20385,779.0,TOYOTA,Camry,2013,Sedan,False,Petrol,2.5,10000,6.0,Tiptronic,Front,4,Left wheel,White,15,False
6229,21326,781.0,TOYOTA,Camry,2012,Sedan,True,Petrol,2.5,90000,4.0,Automatic,Front,4,Left wheel,Silver,6,False
6230,28225,1055.0,TOYOTA,Camry,2013,Sedan,True,Petrol,3.5,142000,6.0,Tiptronic,Front,4,Left wheel,Black,8,False
6231,4234,1327.0,TOYOTA,Camry,2018,Sedan,True,Petrol,2.5,105235,4.0,Automatic,Front,4,Left wheel,Blue,12,False
6232,43880,770.0,HYUNDAI,Tucson,2016,Jeep,True,Diesel,1.7,99881,4.0,Automatic,Front,4,Left wheel,Black,4,False
6233,12861,790.0,CHEVROLET,Lacetti,2009,Sedan,True,Petrol,1.6,163560,4.0,Automatic,Front,4,Left wheel,Grey,4,False
6234,25,,HONDA,FIT,2010,Sedan,False,Petrol,1.3,101000,4.0,Variator,Front,4,Right-hand drive,Red,6,False
6235,1725,1017.0,FORD,Focus,2017,Sedan,True,Petrol,2.0,105157,4.0,Automatic,Front,4,Left wheel,White,12,False
6236,11760,988.0,TOYOTA,Prius,2007,Hatchback,False,Hybrid,1.5,79030,4.0,Automatic,Front,4,Left wheel,Grey,6,False
6237,37238,595.0,HONDA,FIT,2015,Hatchback,True,Petrol,1.5,37606,4.0,Automatic,Front,4,Left wheel,Black,4,False
6238,30,,HONDA,Insight,2010,Sedan,True,Hybrid,1.3,145000,4.0,Variator,Front,4,Left wheel,White,12,False
6239,7840,645.0,TOYOTA,Prius,2011,Hatchback,False,Hybrid,1.8,182400,4.0,Automatic,Front,4,Left wheel,Red,12,False
6240,314,259.0,CHEVROLET,Volt,2014,Hatchback,True,Hybrid,1.4,131893,4.0,Automatic,Front,4,Left wheel,Brown,0,False
6241,9722,,OPEL,Vectra c,2005,Sedan,False,Petrol,2.2,0,4.0,Automatic,Front,4,Left wheel,Silver,0,False
6242,784,1301.0,BMW,X5,2014,Sedan,True,Petrol,4.4,247877,8.0,Automatic,4x4,4,Left wheel,Black,0,False
6243,10381,893.0,HYUNDAI,Elantra,2008,Sedan,True,Petrol,1.6,133749,4.0,Automatic,Front,4,Left wheel,Blue,4,False
6244,9405,362.0,CHEVROLET,Spark,2014,Sedan,True,Petrol,1.0,31114,4.0,Automatic,Front,4,Left wheel,Black,4,False
6245,4391,,OPEL,Astra,1997,Universal,False,CNG,1.6,294271,4.0,Manual,Front,4,Left wheel,Blue,2,False
6246,100,,TOYOTA,Camry,2008,Sedan,True,Hybrid,2.4,150000,6.0,Automatic,Front,4,Left wheel,Black,8,False
6249,23207,900.0,HYUNDAI,Sonata SPORT,2015,Sedan,True,Petrol,2.4,67840,4.0,Tiptronic,Front,4,Left wheel,Black,8,False
6250,1098,552.0,HONDA,CR-Z,2011,Hatchback,True,Hybrid,1.5,129123,4.0,Automatic,Front,4,Left wheel,Red,12,False
6251,15681,,NISSAN,Serena,2010,Minivan,False,LPG,2.0,120000,4.0,Variator,Front,4,Right-hand drive,Black,12,False
6252,20385,,FORD,Fusion,2014,Sedan,False,Petrol,2.5,189000,4.0,Tiptronic,Front,4,Left wheel,White,12,False
6253,16935,502.0,TOYOTA,Prius C,2013,Hatchback,True,Hybrid,1.5,168000,4.0,Variator,Front,4,Left wheel,Grey,10,False
6254,3607,1018.0,BMW,X5,2011,Jeep,True,Diesel,3.0,332243,6.0,Automatic,4x4,4,Left wheel,Black,12,False
6255,11917,474.0,FIAT,500,2013,Hatchback,True,Petrol,1.4,49000,4.0,Automatic,Front,4,Left wheel,Black,0,False
6256,5018,779.0,TOYOTA,Camry,2013,Sedan,True,Hybrid,2.5,190549,4.0,Automatic,Front,4,Left wheel,Black,12,False
6257,17405,1017.0,HYUNDAI,Sonata,2017,Sedan,True,LPG,2.0,263823,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6258,25089,753.0,HYUNDAI,Tucson,2012,Jeep,True,Petrol,2.4,159000,6.0,Automatic,Front,2,Left wheel,Black,10,False
6259,2038,353.0,TOYOTA,Prius,2015,Jeep,True,Hybrid,1.8,104795,4.0,Automatic,Front,4,Left wheel,White,12,False
6260,4400,,VAZ,2107,2005,Sedan,False,Petrol,1.7,125000,4.0,Manual,Rear,4,Left wheel,White,0,False
6261,50,,MERCEDES-BENZ,Sprinter სატვირთო,2002,Goods wagon,False,Diesel,2.2,240000,4.0,Manual,Rear,4,Left wheel,White,2,True
6262,28852,765.0,MERCEDES-BENZ,C 300,2015,Sedan,True,Petrol,2.0,54739,4.0,Automatic,Rear,4,Left wheel,White,12,False
6263,6275,494.0,NISSAN,March,2015,Hatchback,True,Petrol,1.2,80746,4.0,Automatic,Front,4,Left wheel,Black,4,False
6264,7056,915.0,BMW,X5,2014,Jeep,True,Diesel,3.0,141384,6.0,Automatic,4x4,4,Left wheel,Blue,0,False
6265,862,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,130478,4.0,Automatic,Front,4,Left wheel,White,12,False
6266,125,1324.0,TOYOTA,Highlander,2010,Sedan,True,Hybrid,3.3,316912,6.0,Automatic,4x4,4,Left wheel,Blue,12,False
6267,8500,1236.0,HONDA,FIT,2011,Hatchback,False,Hybrid,1.3,116048,4.0,Tiptronic,Front,4,Right-hand drive,Blue,4,False
6268,17249,753.0,HYUNDAI,Sonata,2012,Sedan,True,Petrol,2.4,123869,4.0,Tiptronic,Front,4,Left wheel,White,12,False
6269,314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,149486,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
6270,17249,,FORD,Fusion,2012,Universal,True,Petrol,2.0,156800,4.0,Tiptronic,Front,4,Right-hand drive,White,8,True
6271,1568,934.0,TOYOTA,Camry,2015,Sedan,True,Petrol,2.5,173101,4.0,Automatic,Front,4,Left wheel,Silver,12,False
6272,7213,1438.0,OPEL,Combo,2003,Goods wagon,False,Diesel,1.7,200000,4.0,Manual,Front,4,Left wheel,White,2,True
6273,549,891.0,AUDI,A6,2016,Sedan,True,Petrol,2.0,97826,4.0,Automatic,4x4,4,Left wheel,Grey,0,False
6274,549,1399.0,LEXUS,RX 350,2010,Jeep,True,Petrol,3.5,296466,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
6275,1568,1172.0,MERCEDES-BENZ,E 350,2011,Coupe,True,Diesel,3.5,226251,6.0,Automatic,Rear,2,Left wheel,Black,12,False
6276,125,1324.0,TOYOTA,Highlander,2010,Sedan,True,Hybrid,3.3,316912,6.0,Automatic,4x4,4,Left wheel,Blue,12,False
6277,16383,642.0,TOYOTA,Aqua,2012,Hatchback,True,Petrol,2.0,92400,4.0,Automatic,Front,4,Left wheel,Red,4,False
6279,8467,,NISSAN,March,2003,Hatchback,False,Diesel,1.5,185000,4.0,Manual,Front,4,Left wheel,Blue,6,True
6280,23521,1528.0,FORD,Transit,2007,Microbus,False,Diesel,2.4,245090,4.0,Manual,Rear,4,Left wheel,White,3,True
6281,21473,707.0,SSANGYONG,Actyon,2011,Jeep,True,Diesel,2.0,72080,4.0,Automatic,Front,4,Left wheel,White,4,False
6282,33409,640.0,HYUNDAI,Santa FE,2013,Jeep,True,Diesel,2.0,207187,4.0,Automatic,Front,4,Left wheel,Black,4,False
6283,14113,751.0,CHEVROLET,Malibu eco,2013,Sedan,True,Hybrid,2.4,117000,4.0,Tiptronic,Front,4,Left wheel,Pink,12,False
6284,26030,,LEXUS,CT 200h,2012,Hatchback,True,Hybrid,1.8,326400,4.0,Tiptronic,Front,4,Left wheel,Silver,10,False
6285,7527,,BMW,520,1996,Sedan,False,Petrol,2.0,44444,6.0,Manual,Rear,4,Left wheel,Blue,2,False
6286,8154,,MITSUBISHI,Grandis,2003,Minivan,False,CNG,2.4,111111,4.0,Tiptronic,Front,4,Left wheel,Silver,4,False
6287,27065,836.0,HYUNDAI,Tucson,2010,Jeep,True,Diesel,2.0,80118,4.0,Automatic,Front,4,Left wheel,White,4,False
6288,36564,891.0,HYUNDAI,Tucson,2016,Jeep,True,Diesel,2.0,47090,4.0,Automatic,Front,4,Left wheel,White,4,False
6289,9722,934.0,SUBARU,Forester,2015,Jeep,True,Petrol,2.5,93170,4.0,Automatic,4x4,4,Left wheel,Red,0,False
6290,13172,586.0,TOYOTA,Prius,2012,Hatchback,False,Hybrid,1.8,150400,4.0,Automatic,Front,4,Left wheel,White,6,False
6291,12585,1047.0,HYUNDAI,Elantra,2007,Sedan,True,Petrol,1.6,126184,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6292,941,1058.0,LEXUS,RX 450,2012,Jeep,True,Hybrid,3.5,232357,6.0,Automatic,4x4,4,Left wheel,Black,12,False
6293,15681,810.0,CHEVROLET,Cruze,2016,Sedan,True,Petrol,1.8,53000,4.0,Tiptronic,Front,4,Left wheel,White,6,False
6294,24148,779.0,TOYOTA,Camry XLE,2013,Sedan,True,Hybrid,2.5,201600,4.0,Automatic,Front,4,Left wheel,Black,0,False
6295,17719,639.0,CHEVROLET,Malibu,2014,Sedan,True,Diesel,2.0,38710,4.0,Automatic,Front,4,Left wheel,Brown,4,False
6296,23602,1185.0,LEXUS,IS 250,2009,Sedan,True,Petrol,2.5,126715,4.0,Automatic,Front,4,Left wheel,White,4,False
6297,470,585.0,HYUNDAI,Elantra,2013,Sedan,True,Petrol,1.8,227853,4.0,Automatic,Front,4,Left wheel,Brown,12,False
6300,11917,586.0,TOYOTA,Prius,2012,Hatchback,False,Hybrid,1.8,102000,4.0,Automatic,Front,4,Left wheel,Black,8,False
6301,27755,1024.0,HYUNDAI,H1,2010,Minivan,True,Diesel,2.5,72364,4.0,Automatic,Front,4,Left wheel,Black,4,False
6303,6899,,UAZ,31514,1987,Microbus,False,CNG,2.4,354000,4.0,Manual,4x4,4,Left wheel,Green,6,False
6304,28225,,TOYOTA,Camry,2012,Sedan,True,Hybrid,2.5,156816,4.0,Variator,Front,4,Left wheel,Blue,12,False
6305,11992,966.0,CHEVROLET,Lacetti,2009,Sedan,True,Diesel,2.0,155025,4.0,Automatic,Front,4,Left wheel,Black,4,False
6306,8467,,SUBARU,Forester stb,2000,Hatchback,False,Petrol,2.0,123333,4.0,Manual,4x4,4,Right-hand drive,Black,1,True
6307,392,1327.0,TOYOTA,RAV 4,2018,Sedan,True,Petrol,2.5,53611,4.0,Automatic,4x4,4,Left wheel,Red,11,False
6308,6899,,MITSUBISHI,Colt,2003,Hatchback,True,Petrol,1.5,160000,4.0,Automatic,4x4,4,Right-hand drive,Silver,4,False
6309,862,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,130478,4.0,Automatic,Front,4,Left wheel,White,12,False
6310,188,308.0,TOYOTA,Prius,2014,Jeep,True,Hybrid,1.8,187334,4.0,Automatic,Front,4,Left wheel,White,12,False
6311,13172,,NISSAN,X-Trail,2004,Jeep,True,CNG,2.0,190000,4.0,Automatic,4x4,4,Right-hand drive,Silver,4,False
6312,25089,382.0,TOYOTA,Prius C,2017,Hatchback,False,Hybrid,1.5,144000,4.0,Automatic,Front,4,Left wheel,White,8,False
6313,45,,HONDA,FIT,2007,Hatchback,False,Petrol,1.3,98000,4.0,Automatic,Front,4,Right-hand drive,Black,4,False
6315,19444,,FORD,Fusion,2014,Sedan,True,Petrol,2.0,115000,4.0,Tiptronic,Front,4,Left wheel,Carnelian red,10,True
6316,10663,1327.0,SUBARU,Forester,2018,Sedan,True,Petrol,2.5,32435,4.0,Automatic,4x4,4,Left wheel,Black,12,False
6317,19823,503.0,TOYOTA,Aqua,2012,Hatchback,True,Petrol,1.5,63000,4.0,Automatic,Front,4,Left wheel,Black,4,False
6318,5802,790.0,DAEWOO,Lacetti,2009,Sedan,True,Petrol,1.6,107125,4.0,Automatic,Front,4,Left wheel,Black,4,False
6319,2822,1211.0,FORD,Fusion,2010,Sedan,True,Petrol,3.0,150000,6.0,Automatic,Front,4,Left wheel,White,8,False
6320,17562,1356.0,LEXUS,GX 470,2014,Jeep,True,Petrol,4.6,146218,8.0,Automatic,4x4,4,Left wheel,Black,0,False
6321,7840,1968.0,CHRYSLER,300,2006,Sedan,False,Petrol,2.7,110456,6.0,Tiptronic,Rear,4,Left wheel,White,6,False
6322,7683,,BMW,335,2002,Sedan,True,Petrol,2.5,126000,6.0,Tiptronic,Rear,4,Right-hand drive,Silver,6,False
6323,5331,,NISSAN,March,2004,Hatchback,False,LPG,1.3,127000,4.0,Automatic,Front,4,Right-hand drive,Orange,4,False
6324,282,1327.0,SUBARU,Outback,2018,Hatchback,True,Petrol,2.5,41794,4.0,Automatic,4x4,4,Left wheel,Silver,12,False
6326,16091,836.0,HYUNDAI,Genesis,2010,Coupe,True,Petrol,2.0,100000,4.0,Automatic,Front,4,Left wheel,Grey,4,False
6328,11447,934.0,FORD,Fusion,2015,Sedan,False,Petrol,2.5,96000,4.0,Tiptronic,Front,4,Left wheel,Silver,10,False
6330,188,585.0,HYUNDAI,Elantra,2013,Sedan,True,Petrol,1.8,139125,4.0,Automatic,Front,4,Left wheel,White,12,False
6331,627,781.0,TOYOTA,Camry,2012,Sedan,True,Hybrid,2.5,151195,4.0,Automatic,Front,4,Left wheel,Grey,12,False
6332,9095,,BMW,318,2003,Sedan,False,Petrol,2.0,0,4.0,Tiptronic,Rear,4,Right-hand drive,Blue,6,False
6333,33556,442.0,TOYOTA,Prius,2017,Sedan,False,Hybrid,1.8,90652,4.0,Automatic,Front,4,Left wheel,Silver,10,False
6334,6272,,NISSAN,Note,2005,Hatchback,False,Petrol,1.5,190000,4.0,Variator,Front,4,Right-hand drive,Beige,2,False
6336,23521,862.0,TOYOTA,RAV 4,2011,Jeep,False,Petrol,2.5,172800,4.0,Automatic,Front,4,Left wheel,Black,12,False
6337,8154,,SKODA,Octavia,2009,Sedan,False,Petrol,2.0,75000,4.0,Manual,Front,4,Left wheel,White,0,False
6338,17449,642.0,CHEVROLET,Orlando,2012,Jeep,True,Diesel,2.0,152595,4.0,Automatic,Front,4,Left wheel,Grey,4,False
6339,22580,779.0,TOYOTA,Camry,2013,Sedan,True,Petrol,2.5,125000,4.0,Tiptronic,Front,4,Left wheel,Black,12,False
6340,392,1080.0,CHEVROLET,Impala,2014,Sedan,True,Petrol,3.6,0,6.0,Automatic,Front,4,Left wheel,Silver,12,False
6341,10349,1079.0,TOYOTA,CHR,2018,Jeep,True,Petrol,2.0,38712,4.0,Automatic,Front,4,Left wheel,White,12,False
6342,21000,,MERCEDES-BENZ,GL 450,2006,Jeep,True,LPG,4.5,181000,6.0,Automatic,4x4,4,Left wheel,Black,6,True
6343,7997,,HONDA,Cr-v,2002,Jeep,False,Petrol,2.0,158000,4.0,Automatic,4x4,4,Right-hand drive,Silver,8,False
6344,6429,1325.0,TOYOTA,Camry,2019,Sedan,True,Petrol,2.5,4565,4.0,Automatic,Front,4,Left wheel,Grey,12,False
6345,8781,,MERCEDES-BENZ,S 500,2003,Sedan,True,Petrol,5.0,300000,8.0,Tiptronic,Rear,4,Left wheel,Black,12,False
6346,188,1172.0,LEXUS,RX 450,2011,Jeep,True,Hybrid,3.5,101816,6.0,Automatic,4x4,4,Left wheel,Black,12,False
6347,7119,836.0,HYUNDAI,Sonata,2010,Sedan,True,LPG,2.0,81248,4.0,Automatic,Front,4,Left wheel,White,4,False
6348,12231,,BMW,750,2006,Sedan,True,Petrol,4.8,249600,8.0,Automatic,Rear,4,Left wheel,Black,12,False
6349,15367,,MITSUBISHI,Delica,1996,Minivan,False,Diesel,2.8,160000,4.0,Automatic,4x4,2,Right-hand drive,Green,1,True
6350,18817,,TOYOTA,Prius C,2012,Hatchback,True,Hybrid,1.5,112000,4.0,Automatic,Front,4,Left wheel,Black,10,False
6351,19444,530.0,HYUNDAI,Elantra GT,2013,Hatchback,True,Diesel,1.6,58000,4.0,Tiptronic,Front,4,Left wheel,White,8,True
6352,39226,640.0,HYUNDAI,Santa FE,2013,Jeep,True,Diesel,2.0,139488,4.0,Automatic,Front,4,Left wheel,Black,4,False
6353,5802,1055.0,MERCEDES-BENZ,E 350,2013,Sedan,True,Diesel,3.5,107800,6.0,Automatic,Rear,4,Left wheel,Grey,12,False
6354,24932,1017.0,FORD,EcoSport SE,2017,Jeep,False,Petrol,2.0,15052,4.0,Automatic,4x4,4,Left wheel,White,9,True
6355,627,397.0,LEXUS,CT 200h,2016,Hatchback,True,Hybrid,1.8,85320,4.0,Automatic,Front,4,Left wheel,Red,0,False
6356,16621,,MERCEDES-BENZ,E 500,2003,Sedan,True,Petrol,5.0,125000,8.0,Automatic,Rear,4,Left wheel,White,12,False
6357,37564,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,151193,4.0,Automatic,Front,4,Left wheel,Grey,4,False
6358,7527,,TOYOTA,VOXY,2003,Minivan,True,CNG,2.0,210000,4.0,Automatic,Rear,4,Right-hand drive,Black,8,False
6360,627,1058.0,MERCEDES-BENZ,E 350,2012,Sedan,True,Diesel,3.5,318285,6.0,Automatic,4x4,4,Left wheel,Black,12,False
6361,21395,730.0,HYUNDAI,Elantra,2016,Sedan,True,LPG,1.6,138241,4.0,Automatic,Front,4,Left wheel,Grey,4,False
6362,784,781.0,FORD,Escape,2012,Jeep,True,Hybrid,2.5,95349,4.0,Automatic,Front,4,Left wheel,Blue,0,False
6363,45342,765.0,SSANGYONG,REXTON,2015,Jeep,True,Diesel,2.0,106055,4.0,Automatic,Front,4,Left wheel,Black,4,False
6364,4077,1363.0,LEXUS,GX 460,2012,Jeep,True,Petrol,4.6,150909,8.0,Automatic,4x4,4,Left wheel,Black,0,False
6365,9722,1236.0,HONDA,FIT Premiym,2011,Hatchback,False,Hybrid,1.3,100000,4.0,Tiptronic,Front,4,Right-hand drive,Yellow,2,False
6366,12074,333.0,SUBARU,XV,2014,Jeep,True,Hybrid,2.0,131872,4.0,Automatic,4x4,4,Left wheel,White,12,False
6367,12544,,CHEVROLET,Sonic,2013,Hatchback,False,Petrol,1.8,160000,4.0,Manual,Front,4,Left wheel,Blue,6,False
6368,10192,505.0,FORD,Fusion,2018,Sedan,True,Hybrid,2.0,28813,4.0,Automatic,Front,4,Left wheel,Blue,12,False
6369,32929,,MERCEDES-BENZ,C 250,2012,Sedan,True,Petrol,1.8,99000,4.0,Automatic,Rear,4,Left wheel,Red,12,True
6370,5331,,BMW,320,2003,Sedan,False,Petrol,2.2,144000,6.0,Tiptronic,Rear,4,Right-hand drive,Blue,6,False
6371,251,1493.0,HONDA,Pilot,2016,Jeep,True,Petrol,3.5,43664,6.0,Automatic,4x4,4,Left wheel,Grey,12,False
6372,14426,779.0,MAZDA,Mazda 6,2013,Sedan,True,Petrol,2.5,92800,4.0,Automatic,Front,4,Left wheel,Silver,12,False
6373,21639,1058.0,NISSAN,Murano,2012,Jeep,False,Petrol,3.5,132000,6.0,Tiptronic,4x4,4,Left wheel,Silver,12,False
6374,862,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,130478,4.0,Automatic,Front,4,Left wheel,White,12,False
6375,17562,779.0,TOYOTA,Camry,2013,Sedan,False,Hybrid,2.5,75000,4.0,Automatic,Front,4,Left wheel,Grey,12,False
6376,13328,1399.0,LEXUS,RX 450,2010,Jeep,True,Hybrid,3.5,186005,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
6377,6272,,OPEL,Astra,1999,Goods wagon,False,Petrol,1.6,223000,4.0,Manual,Front,4,Left wheel,Black,8,False
6378,45473,1091.0,TOYOTA,RAV 4,2016,Jeep,False,Petrol,2.5,60800,4.0,Automatic,4x4,4,Left wheel,Black,12,False
6380,7840,,SUBARU,Legacy Bl5,2003,Sedan,False,Petrol,2.0,217000,4.0,Tiptronic,4x4,4,Right-hand drive,Silver,2,True
6381,4861,1324.0,TOYOTA,Highlander,2010,Jeep,True,Hybrid,3.3,264877,6.0,Automatic,4x4,4,Left wheel,White,12,False
6382,7213,924.0,TOYOTA,Venza,2011,Jeep,True,Petrol,2.7,108398,4.0,Automatic,4x4,4,Left wheel,Silver,12,False
6384,21953,1211.0,MERCEDES-BENZ,C 300,2010,Sedan,True,Petrol,3.0,118000,6.0,Tiptronic,Rear,4,Left wheel,Black,12,False
6385,2509,761.0,TOYOTA,Prius,2010,Jeep,True,Hybrid,1.8,256966,4.0,Automatic,Front,4,Left wheel,Blue,12,False
6386,15681,,MERCEDES-BENZ,E 320,2004,Sedan,True,CNG,3.2,290000,6.0,Tiptronic,4x4,4,Left wheel,Sky blue,10,False
6387,8467,,MERCEDES-BENZ,E 240,2000,Sedan,False,CNG,2.4,256000,6.0,Tiptronic,Rear,4,Left wheel,Blue,6,False
6388,627,475.0,CHEVROLET,Volt,2012,Jeep,True,Hybrid,1.4,188419,4.0,Automatic,Front,4,Left wheel,Red,0,False
6389,1019,769.0,CHEVROLET,HHR,2011,Jeep,True,Petrol,2.2,126765,4.0,Automatic,Front,4,Left wheel,Black,12,False
6390,24148,,TOYOTA,Prius TSS LIMITED,2012,Hatchback,True,Hybrid,1.8,80000,4.0,Automatic,Front,4,Left wheel,Silver,8,False
6391,15053,584.0,TOYOTA,Corolla,2014,Sedan,True,Petrol,1.8,85500,4.0,Tiptronic,Front,4,Left wheel,Red,12,False
6392,8154,919.0,BMW,X5,2012,Jeep,True,Diesel,3.0,103458,6.0,Automatic,4x4,4,Left wheel,White,0,False
6393,19444,562.0,CHEVROLET,Cruze,2015,Sedan,True,Petrol,1.4,88000,4.0,Automatic,Front,5,Left wheel,White,12,True
6395,5018,697.0,HONDA,Civic,2015,Sedan,True,Petrol,1.8,64522,4.0,Automatic,Front,4,Left wheel,Grey,12,False
6396,8624,,NISSAN,Tiida,2007,Hatchback,True,Petrol,1.6,150000,4.0,Manual,Front,4,Left wheel,Black,6,False
6397,17948,707.0,HYUNDAI,Tucson,2011,Jeep,True,Diesel,2.0,191490,4.0,Automatic,Front,4,Left wheel,Grey,4,False
6398,13172,,FORD,Fiesta,2012,Hatchback,False,Petrol,1.6,88000,4.0,Automatic,Front,4,Left wheel,Purple,6,False
6399,7840,,MINI,Cooper r50,2003,Coupe,True,Petrol,1.6,171770,4.0,Variator,Front,2,Right-hand drive,Black,4,False
6400,12544,,HONDA,Civic,2008,Coupe,True,Petrol,1.8,222680,4.0,Automatic,Front,2,Left wheel,Red,6,False
6401,25,,NISSAN,Tiida,2006,Hatchback,True,LPG,1.5,178000,5.0,Automatic,Front,4,Right-hand drive,Green,7,False
6402,8154,1111.0,HONDA,FIT,2012,Hatchback,False,Hybrid,1.3,99000,4.0,Automatic,Front,4,Right-hand drive,Silver,4,False
6403,9095,1018.0,FORD,Escape,2011,Jeep,True,Petrol,3.0,70000,6.0,Tiptronic,4x4,4,Left wheel,Grey,8,False
6404,9408,,FORD,Transit,1998,Goods wagon,False,Diesel,2.5,228000,4.0,Manual,Rear,2,Left wheel,White,2,False
6406,6900,,VAZ,2121 (Niva),1997,Jeep,False,Petrol,1.7,200000,4.0,Manual,4x4,2,Left wheel,Green,0,False
6407,21482,,FORD,Fusion,2017,Sedan,True,Petrol,2.5,98000,4.0,Tiptronic,Front,4,Left wheel,Black,8,False
6408,15053,475.0,CHEVROLET,Cruze,2012,Sedan,False,Petrol,1.4,115200,4.0,Tiptronic,Front,4,Left wheel,Carnelian red,8,False
6409,21326,1399.0,MERCEDES-BENZ,E 350,2010,Sedan,True,Petrol,3.5,140000,6.0,Automatic,Rear,4,Left wheel,Blue,8,False
6410,23834,642.0,CITROEN,C8,2012,Jeep,True,Petrol,2.0,192840,4.0,Automatic,4x4,4,Left wheel,Red,12,False
6411,16621,638.0,KIA,Optima,2014,Sedan,True,Petrol,2.0,44768,4.0,Automatic,Front,4,Left wheel,Silver,4,False
6412,6272,,HONDA,Cr-v Cr-v,1998,Jeep,False,CNG,2.0,20000,4.0,Automatic,4x4,4,Left wheel,Silver,5,False
6413,3293,419.0,CHEVROLET,Spark,2013,Hatchback,True,Petrol,1.2,149896,4.0,Automatic,Front,4,Left wheel,Blue,12,False
6414,35005,1091.0,HYUNDAI,H1,2016,Minivan,True,Diesel,2.5,113293,4.0,Automatic,Front,4,Left wheel,White,4,False
6415,3293,565.0,CHEVROLET,Matiz,2007,Sedan,True,Petrol,0.8,134863,4.0,Automatic,Front,4,Left wheel,Golden,4,False
6416,11604,,FORD,Transit,2000,Microbus,False,Diesel,2.0,0,4.0,Manual,Front,2,Left wheel,White,2,True
6417,10036,,NISSAN,Serena,2005,Minivan,False,Petrol,2.0,111000,4.0,Automatic,Front,4,Right-hand drive,Grey,2,False
6418,188,308.0,TOYOTA,Prius,2014,Jeep,True,Hybrid,1.8,187334,4.0,Automatic,Front,4,Left wheel,White,12,False
6419,24148,,TOYOTA,Camry,2012,Sedan,True,Petrol,2.5,160800,6.0,Tiptronic,Front,4,Left wheel,Black,12,False
6420,2195,,FORD,Fiesta,1998,Sedan,False,Petrol,1.0,0,4.0,Manual,Front,2,Left wheel,Blue,2,False
6421,6899,460.0,TOYOTA,Corolla,2020,Sedan,True,Hybrid,1.8,7467,4.0,Automatic,Front,4,Left wheel,Blue,12,False
6422,4077,753.0,HYUNDAI,Sonata,2012,Sedan,True,Hybrid,2.4,259934,4.0,Automatic,Front,4,Left wheel,Red,0,False
6423,22894,1086.0,CHEVROLET,Camaro,2012,Coupe,False,Petrol,3.6,131200,6.0,Tiptronic,Rear,2,Left wheel,Black,0,False
6425,10349,1855.0,NISSAN,Serena,2011,Minivan,False,Petrol,2.0,105000,4.0,Variator,Front,4,Right-hand drive,Silver,2,False
